geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
753611,Zawichost,1853,50.80743,21.85408,PPLA3,P,2609
753636,Zawady,320,53.15511,22.66565,PPL,P,2002
753681,Zawada Lanckorońska,323,49.87019,20.8045,PPL,P,1216
753701,Zatwarnica,238,49.22657,22.5527,PPL,P,1801
753702,Zatory,970,52.59929,21.18258,PPLA3,P,1424
753703,Zator,244,51.96521,20.37655,PPL,P,1438
753745,Zasań,720,49.82071,20.0485,PPL,P,1209
753760,Zarzecze,2549,50.52767,22.19522,PPL,P,1812
753762,Zarzecze,1589,49.98633,22.53716,PPLA3,P,1814
753763,Zarzecze,511,49.95139,21.91781,PPL,P,1816
753764,Zarzecze,999,49.67718,21.48119,PPL,P,1805
753776,Zarszyn,1101,49.58178,22.01283,PPLA3,P,1817
753787,Żarnów,870,51.24607,20.17476,PPLA3,P,1007
753795,Zaręby Kościelne,660,52.75718,22.12432,PPL,P,1416
753866,Zamość,66034,50.72314,23.25196,PPLA2,P,0664
